"Observed","Shannon","InvSimpson","Datos","Punto","Escenario"
7,1.75628427701043,5.20328849028401,"Rarefactados","Logistico","Balanceado"
10,2.25129090375038,8.99483204134367,"Rarefactados","Logistico","Balanceado"
10,2.07533492214898,6.86587771203156,"Rarefactados","Logistico","Balanceado"
10,2.12653940807727,7.48602150537634,"Rarefactados","Logistico","Balanceado"
8,1.8726294298323,5.53418124006359,"Rarefactados","Logistico","Balanceado"
10,2.15682778298008,7.91347207009858,"Originales","Logistico","Balanceado"
9,2.02846976266637,6.86813186813187,"Originales","Logistico","Balanceado"
4,1.33610113145278,3.67659574468085,"Originales","Logistico","Balanceado"
4,1.28131588828311,3.38284839203675,"Originales","Logistico","Balanceado"
4,1.30461222237558,3.4897512981689,"Originales","Logistico","Balanceado"
8,1.26332395341559,2.18994413407821,"Originales","Logistico","Balanceado"
7,1.5590376506194,3.47522847522848,"Originales","Logistico","Balanceado"
4,1.04866617100372,2.28565623730191,"Originales","Logistico","Balanceado"
7,1.70898974312432,4.56338028169014,"Originales","Logistico","Balanceado"
5,1.24451423240871,2.58992805755396,"Originales","Logistico","Balanceado"
6,1.47900555692588,3.43142305215712,"Originales","Logistico","Balanceado"
10,2.10581844712099,6.94698795180723,"Originales","Logistico","Balanceado"
6,1.68562522311319,5.08130081300813,"Originales","Logistico","Balanceado"
12,2.22244009212743,7.57066189624329,"Originales","Logistico","Balanceado"
9,2.05825567469588,6.91180285343709,"Originales","Logistico","Balanceado"
9,2.0297610661704,6.39183055975794,"Originales","Logistico","Balanceado"
7,1.82697864666836,5.68729989327641,"Originales","Logistico","Balanceado"
10,2.18584877822452,7.90909090909091,"Originales","Logistico","Balanceado"
10,2.13331962514597,7.38579881656805,"Originales","Logistico","Balanceado"
10,2.16906150832755,7.92682926829268,"Originales","Logistico","Balanceado"
8,1.93481763876856,6.14634146341464,"Originales","Logistico","Balanceado"
